Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
A. Gavilanes,"AM,W",,Greenville Triumph,Greenville Triumph,22.0,United States,United States,,107000.0,6.81,7.086888253933863,0.27688825393386374,110000,,110000,,2021-04-20,2022-11-30,2021-12-15,,Allen Gavilanes,United States,22,Greenville Triumph SC,midfield - Left Midfield,https://www.transfermarkt.us/allen-gavilanes/profil/spieler/886066
C. Frame,"AM,W",,North Carolina FC,North Carolina FC,19.0,United States,United States,unknown,107000.0,6.55,6.699770074892623,0.14977007489262295,110000,,110000,,2021-09-07,2022-11-30,,,Cole Frame,United States,19,North Carolina FC,attack - Right Winger,https://www.transfermarkt.us/cole-frame/profil/spieler/876377
R. Pineda,"FB,W",2021-11-30,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,United States,United States,,107000.0,6.75,6.671279915532299,-0.07872008446770096,,,,,,,,,,,,,,
M. Hernández,"AM,W",2021-11-30,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,United States,United States,left,107000.0,7.01,7.167906845589285,0.15790684558928536,,,,,,,,,,,,,,
D. Corfe,"AM,W,CF",,Tucson,Tucson,23.0,England,England,right,107000.0,7.04,6.98284147552107,-0.057158524478929884,110000,,110000,,2021-04-13,2022-11-30,2021-12-02,,Deri Corfe,England,23 (24),FC Tucson,midfield - Left Midfield,https://www.transfermarkt.us/deri-corfe/profil/spieler/735814
D. Corfe,"AM,W,CF",,Tucson,Tucson,23.0,England,England,right,107000.0,7.04,6.98284147552107,-0.057158524478929884,110000,,110000,,2021-04-13,2022-11-30,2021-12-02,,Deri Corfe,England,24,FC Tucson,midfield - Left Midfield,https://www.transfermarkt.us/deri-corfe/profil/spieler/735814
D. Corfe,"AM,W,CF",,Tucson,Tucson,23.0,England,England,right,107000.0,7.04,6.98284147552107,-0.057158524478929884,110000,,110000,,2021-04-13,2022-11-30,2021-12-02,,Deri Corfe,England,24,FC Tucson,midfield - Left Midfield,https://www.transfermarkt.us/deri-corfe/profil/spieler/735814
D. Corfe,"AM,W,CF",,Tucson,Tucson,23.0,England,England,right,107000.0,7.04,6.98284147552107,-0.057158524478929884,110000,,110000,,2021-04-13,2022-11-30,2021-12-02,,Deri Corfe,England,24,FC Tucson,midfield - Left Midfield,https://www.transfermarkt.us/deri-corfe/profil/spieler/735814
K. Rodríguez,"AM,W",,Tucson,Tucson,25.0,United States,United States,right,107000.0,6.81,6.927025041639354,0.11702504163935412,110000,,110000,,2021-02-10,2022-11-30,2021-12-02,,Kevin Rodríguez,United States,25,FC Tucson,midfield - Right Midfield,https://www.transfermarkt.us/kevin-rodriguez/profil/spieler/657902
K. Perez,W,,Tormenta,Tormenta,24.0,United States,United States,,107000.0,6.72,6.829826161314889,0.10982616131488943,,,,,,,,,,,,,,
