Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
D. Kerr,AM,,North Carolina FC,North Carolina FC,17.0,United States,United States,unknown,0.0,6.5,5.519859595510699,-0.9801404044893012,,,,,,,,,,,,,,
J. Goodall,"FB,AM,W",,Greenville Triumph,Greenville Triumph,24.0,United States,United States,,0.0,6.63,6.802944394287079,0.17294439428707875,,,,,,,,,,,,,,
E. Bajraktarevic,"AM,W",,New England II,New England II,,United States,United States,,0.0,6.65,6.748634264825296,0.09863426482529558,83000,,83000,,2021-11-18,2022-11-30,,,Esmir Bajraktarevic,United States-Bosnia-Herzegovina,16 (17),New England Revolution II,midfield - Attacking Midfield,https://www.transfermarkt.us/esmir-bajraktarevic/profil/spieler/925862
H. Avayevu,"AM,W",,North Texas,North Texas,19.0,Ghana,Ghana,unknown,0.0,6.72,6.892113428289329,0.17211342828932885,,,,,,,,,,,,,,
M. Silva,"AM,W",,New England II,New England II,19.0,United States,"United States, Cape Verde Islands",,0.0,6.65,6.824310234590205,0.17431023459020434,55000,,55000,,2020-01-21,2022-11-30,,,Meny Silva,Cape Verde,20,New England Revolution II,attack - Right Winger,https://www.transfermarkt.us/meny-silva/profil/spieler/738682
M. Silva,"AM,W",,New England II,New England II,19.0,United States,"United States, Cape Verde Islands",,0.0,6.65,6.824310234590205,0.17431023459020434,55000,,55000,,2020-01-21,2022-11-30,,,Meny Silva,Cape Verde,20,New England Revolution II,attack - Right Winger,https://www.transfermarkt.us/meny-silva/profil/spieler/738682
M. Silva,"AM,W",,New England II,New England II,19.0,United States,"United States, Cape Verde Islands",,0.0,6.65,6.824310234590205,0.17431023459020434,55000,,55000,,2020-01-21,2022-11-30,,,Meny Silva,Cape Verde,20,New England Revolution II,attack - Right Winger,https://www.transfermarkt.us/meny-silva/profil/spieler/738682
H. Fujiwara,"CM,AM",,New England II,New England II,18.0,Japan,Japan,,0.0,6.73,6.895925225103891,0.16592522510389074,,,,,,,,,,,,,,
D. Hernandez,"AM,CF",,North Texas,North Texas,23.0,United States,United States,,0.0,6.97,6.930982705523483,-0.03901729447651636,,,,,,,,,,,,,,
J. Murphy,"AM,W",,Union Omaha,Union Omaha,21.0,United States,"United States, Republic of Ireland",right,0.0,6.75,7.000171671086848,0.25017167108684824,,,,,,,,,,,,,,
N. Brown,"AM,W",,Greenville Triumph,Greenville Triumph,,United States,United States,,0.0,6.56,6.8433847504129055,0.2833847504129059,55000,,55000,,2021-09-01,2022-11-30,2021-12-15,Tavares Agency LLC,Nico Brown,Jamaica-United States,23,Greenville Triumph SC,attack - Left Winger,https://www.transfermarkt.us/nico-brown/profil/spieler/866253
F. Valencia,"AM,W",2025-12-31,Inter Miami,Fort Lauderdale,17.0,United States,United States,,0.0,6.46,6.596629761372958,0.13662976137295768,,,,,,,,,,,,,,
