"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Nkosi Burgess","NTX","2021","CB","186","-0.03","0.02","-0.19","-0.01","0.07","0.03","-0.10"
"","Alex Knox","TUC","2021","FB","733","-0.13","-0.04","0.50","0.02","-0.30","-0.15","-0.11"
"","Hernán González","RIC","2021","ST","431","0.15","-0.07","0.02","-0.18","0.06","-0.09","-0.12"
"","Javier Casas","MAD","2021","CM","64","-0.01","-0.00","-0.01","-0.07","-0.00","-0.02","-0.12"
"","Manuel Ferriol","TUC","2021","CM","921","-0.25","-0.08","-0.01","0.18","-0.02","0.05","-0.12"
"","Ethan Hardin","FTL","2021","CB","1874","-0.38","0.13","0.20","-0.02","0.01","-0.06","-0.12"
"","Felipe Valencia","FTL","2021","CM","67","-0.01","-0.01","-0.03","-0.05","-0.03","0.00","-0.13"
"","Audi Jepson","MAD","2021","CM","1379","-0.26","-0.06","-0.07","0.09","0.23","-0.06","-0.13"
"","Daniel Bedoya","TUC","2021","CM","1538","-0.03","0.12","-0.17","0.38","-0.44","0.02","-0.13"
"","Stanley Alves","RIC","2021","ST","561","-0.12","-0.06","0.00","-0.02","0.08","-0.02","-0.13"
"","Allen Gavilanes","GVL","2021","W","1385","-0.12","0.06","0.08","0.50","-0.42","-0.25","-0.14"
"","Ethan Vanacore-Decker","OMA","2021","W","574","0.27","-0.01","-0.04","-0.10","-0.29","0.02","-0.16"
"","Abdul Illal Osumanu","OMA","2021","CB","1268","-0.11","0.09","0.64","-0.24","-0.35","-0.18","-0.16"
"","Dennis Ramirez","NER","2021","CM","114","-0.07","-0.05","0.06","-0.04","-0.05","-0.01","-0.16"
"","Alisson","NTX","2021","CB","729","-0.07","-0.54","0.28","0.36","-0.11","-0.09","-0.17"
"","Vincenzo Candela","TRM","2021","CM","912","-0.10","0.00","0.51","-0.15","-0.32","-0.10","-0.17"
"","Navarro","CHA","2021","CB","2102","0.11","-0.21","-0.41","0.45","-0.07","-0.04","-0.18"
"","Paul Rothrock","TOR","2021","ST","708","-0.06","0.04","-0.12","-0.36","0.19","0.13","-0.19"
"","Cameron Vickers","RIC","2021","W","176","-0.02","-0.01","0.00","0.01","-0.11","-0.07","-0.19"
"","Steffen Yeates","TOR","2021","CM","1365","0.45","-0.38","-0.06","0.21","-0.30","-0.11","-0.20"
"","Michael Tsicoulias","NER","2021","W","337","0.19","-0.02","-0.02","-0.34","-0.10","0.08","-0.21"
"","Franco Pérez","TUC","2021","ST","276","-0.04","0.03","-0.04","-0.15","0.07","-0.09","-0.21"
"","Kobe Perez","TRM","2021","W","1072","0.26","0.01","0.12","-0.33","-0.18","-0.10","-0.22"
"","Clayton Adams","TRM","2021","W","209","-0.03","0.00","-0.03","0.00","-0.12","-0.04","-0.22"
"","Dairon Reyes","FTL","2021","W","231","-0.05","-0.03","0.03","0.02","-0.11","-0.09","-0.23"
"","Joshua Penn","FTL","2021","W","890","0.05","-0.05","-0.04","-0.04","-0.13","-0.02","-0.23"
"","Ricardo Gomez","TRM","2021","CM","1575","0.11","-0.07","0.06","0.65","-0.58","-0.40","-0.24"
"","Christian Molina","OMA","2021","W","232","-0.06","0.03","-0.09","-0.03","-0.04","-0.06","-0.24"
"","Julian Dunn-Johnson","TOR","2021","CB","399","0.03","0.04","-0.28","0.01","-0.03","-0.01","-0.25"
"","Parker O'Ferral","NC","2021","FB","530","-0.03","-0.01","0.16","-0.10","-0.17","-0.09","-0.25"
"","Nazmi Albadawi","NC","2021","CM","977","-0.15","-0.10","0.18","0.13","-0.28","-0.03","-0.25"
"","Ronaldo Pineda","CHA","2021","FB","1272","0.06","-0.13","-0.02","0.39","-0.44","-0.11","-0.26"
"","Giovanni Calixtro","TUC","2021","ST","1725","-0.58","-0.07","-0.32","0.66","-0.05","0.12","-0.26"
"","Cole McLagan","GVL","2021","FB","309","0.05","-0.02","-0.10","-0.02","-0.17","-0.01","-0.26"
"","Niki Jackson","TRM","2021","ST","287","-0.03","-0.03","-0.08","-0.13","0.12","-0.12","-0.27"
"","Devante Dubose","RIC","2021","FB","55","-0.03","-0.04","-0.16","-0.01","-0.01","-0.01","-0.27"
"","Aaron Walker","GVL","2021","CM","2356","-0.39","-0.04","0.20","-0.10","-0.32","0.37","-0.28"
"","Victor Falck","RIC","2021","CM","1689","0.07","0.04","0.03","0.08","-0.25","-0.26","-0.28"
"","Jordan Pena","TUC","2021","DM","1081","-0.09","-0.04","0.34","-0.12","-0.23","-0.15","-0.28"
"","Ualefi","CHA","2021","DM","874","-0.05","0.05","0.10","-0.03","-0.22","-0.13","-0.29"
"","Jaime Ponce","OMA","2021","CB","68","-0.01","-0.00","-0.22","-0.05","-0.01","-0.01","-0.29"
"","Joshua Donnelly","GVL","2021","ST","747","-0.29","0.00","0.01","-0.33","0.35","-0.04","-0.30"
"","Julian Altobelli","TOR","2021","ST","1661","-0.64","0.03","-0.07","0.88","-0.41","-0.09","-0.30"
"","Austin Panchot","OMA","2021","ST","381","-0.05","-0.04","0.08","-0.05","-0.22","-0.04","-0.32"
"","Alex Bruce","NTX","2021","ST","594","-0.33","0.04","-0.06","-0.27","0.29","0.01","-0.33"
"","Rohan Goulbourne","TOR","2021","W","1362","0.05","0.25","0.06","0.26","-0.71","-0.25","-0.34"
"","Roberto Poplawski","FTL","2021","DM","1732","0.08","-0.39","0.29","0.28","-0.50","-0.12","-0.35"
"","Jahkeele Marshall-Rutty","TOR","2021","W","525","-0.22","0.20","-0.01","0.10","-0.29","-0.13","-0.35"
"","Luis Arriaga","NC","2021","CM","1702","-0.13","0.05","0.21","-0.32","-0.17","0.01","-0.35"
"","Pecka","NC","2021","DM","1308","-0.18","0.01","0.13","-0.13","-0.19","-0.05","-0.42"
"","Aziel Jackson","NC","2021","ST","877","0.61","-0.06","-0.02","-0.09","-0.74","-0.12","-0.42"
"","Luca Mayr-Fälten","TRM","2021","FB","2381","-1.00","0.02","-0.88","0.19","0.48","0.77","-0.42"
"","Juan Parra","NTX","2021","CB","411","-0.08","0.04","-0.53","-0.11","0.18","0.07","-0.43"
"","Tyler Freitas","NER","2021","FB","477","-0.16","-0.00","0.06","-0.21","-0.07","-0.06","-0.44"
"","Mehdi Essoussi","TOR","2021","CM","1248","-0.30","0.14","-0.32","0.18","-0.15","0.00","-0.45"
"","Shermaine Martina","NC","2021","CB","717","-0.03","0.00","-0.10","-0.09","-0.17","-0.08","-0.45"
"","Abel Caputo","FTL","2021","DM","1234","-0.04","0.24","-0.12","-0.22","-0.11","-0.22","-0.47"
"","Tyler Polak","GVL","2021","FB","2661","-0.18","0.29","0.43","-0.28","-0.49","-0.26","-0.48"
"","Blake Malone","OMA","2021","CB","769","-0.10","0.04","0.16","-0.24","-0.25","-0.11","-0.49"
"","Brandon Fricke","GVL","2021","CB","2531","-0.30","-0.32","-0.17","0.07","0.13","0.09","-0.49"
"","Cesar Murillo","GVL","2021","CB","1167","0.07","0.02","-0.35","0.22","-0.44","0.00","-0.49"
"","Noel Buck","NER","2021","CM","2059","-0.39","-0.13","-0.22","-0.42","0.42","0.23","-0.50"
"","Mark Salas","NTX","2021","CB","888","-0.12","0.05","-0.32","0.15","-0.16","-0.11","-0.50"
"","Thibaut Jacquel","NTX","2021","ST","816","-0.10","-0.35","0.39","-0.39","-0.13","0.08","-0.50"
"","Braxton Taghvai-Najib","FTL","2021","CM","1009","-0.22","0.01","0.06","-0.10","-0.12","-0.14","-0.51"
"","Britton Fischer","NC","2021","CB","1258","-0.28","0.11","0.16","-0.18","-0.24","-0.08","-0.52"
"","Luis Ángel Rodríguez","TRM","2021","CB","436","-0.08","0.02","-0.45","0.17","-0.12","-0.07","-0.52"
"","Joshua Saavedra","FTL","2021","DM","416","-0.09","-0.01","-0.03","-0.18","-0.13","-0.08","-0.52"
"","Robert Frame","NC","2021","W","1635","0.36","0.24","-0.36","-0.20","-0.23","-0.32","-0.52"
