Player,Team,Season,Position,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,A,xA,A-xA,xG+xA,PA,xPA,Passes,Pass %,xPass %,Score,Per100,Distance,Vertical,Touch %,Games,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Devante Dubose,RIC,2021,FB,55,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6,66.7%,67.6%,-0.06,-0.97,26.57,21.21,1.0%,3,-0.03,-0.04,-0.16,-0.01,-0.01,-0.01,-0.27
Devin Benton,NTX,2021,CB,257,0,0,0,0.0,0.0,0.0,1,0,0.04,-0.04,0.04,0.0,0.0,141,81.6%,82.8%,-1.75,-1.24,23.28,4.66,3.6%,8,-0.02,-0.04,0.15,0.1,-0.19,-0.1,-0.09
Devin Boyce,OMA,2021,W,2192,34,14,4,2.17,2.41,1.83,39,8,4.25,3.75,6.41,1.18,1.2,993,72.2%,72.7%,-4.82,-0.49,18.75,2.25,8.8%,27,-0.11,-0.22,-0.01,0.89,-1.0,-0.23,-0.68
Dominick Hernandez,NTX,2021,ST,1689,28,13,3,3.44,-0.4,-0.44,28,3,3.28,-0.28,6.71,0.97,1.46,619,70.3%,73.3%,-18.54,-2.99,19.5,5.18,7.2%,21,0.46,-0.39,0.13,0.89,-0.07,0.06,1.09
Don Smart,GVL,2021,W,1289,21,4,2,2.27,-0.42,-0.27,30,2,2.09,-0.09,4.36,1.68,1.76,446,73.1%,72.3%,3.54,0.79,23.39,1.36,5.3%,21,-0.31,-0.1,-0.21,-0.17,0.32,-0.11,-0.59
Drake Callender,FTL,2021,GK,1678,0,0,0,0.0,0.0,0.0,1,0,0.05,-0.05,0.05,0.0,0.0,718,81.2%,82.5%,-9.45,-1.32,31.64,21.26,8.0%,17,,,,,,,
Drew Hardin,FTL,2021,CM,639,9,1,1,1.51,-0.67,-0.51,5,1,0.64,0.36,2.15,0.88,1.17,154,80.5%,83.5%,-4.53,-2.94,20.72,2.36,2.5%,15,0.21,-0.02,-0.07,-0.43,0.32,0.05,0.07
Drew Kerr,NC,2021,CM,10,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4,75.0%,61.5%,0.54,13.53,11.78,8.32,0.7%,1,0.0,-0.0,0.02,0.01,-0.0,-0.0,0.03
Dylan Castanheira,FTL,2021,GK,205,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,117,83.8%,83.0%,0.91,0.78,30.25,20.1,12.2%,2,,,,,,,
Earl Edwards Jr.,NER,2021,GK,387,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,102,83.3%,75.3%,8.15,7.99,34.44,27.67,4.0%,4,,,,,,,
Edison Azcona,FTL,2021,W,882,17,6,3,1.31,0.51,1.69,11,1,0.72,0.28,2.03,1.67,0.72,372,76.9%,81.7%,-18.0,-4.84,19.45,1.83,7.5%,12,0.13,-0.06,-0.19,0.18,-0.08,0.02,0.02
Edward Kizza,NER,2021,ST,1075,32,18,5,5.2,1.18,-0.2,8,0,0.4,-0.4,5.6,2.63,3.2,225,76.9%,81.5%,-10.25,-4.56,15.78,-4.88,4.6%,12,-0.47,-0.21,-0.05,-0.6,0.61,0.19,-0.53
