"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Noel Buck","NER","2021","CM","2059","35","12","5","3.88","0.34","1.11","26","1","2.10","-1.10","5.98","2.73","2.25"
"","Kobe Franklin","TOR","2021","FB","2346","14","9","2","0.83","1.04","1.17","39","6","5.14","0.86","5.97","2.19","0.72"
"","Julian Altobelli","TOR","2021","ST","1661","37","13","2","3.85","-0.51","-1.85","16","1","2.01","-1.01","5.86","1.29","2.83"
"","Andrew Booth","GVL","2021","CM","2142","46","10","2","4.51","-1.53","-2.51","18","1","1.22","-0.22","5.73","0.95","2.57"
"","George Acosta","FTL","2021","CM","1703","47","11","4","2.33","0.40","1.67","40","7","3.35","3.65","5.68","0.98","1.33"
"","Kalil ElMedkhar","NTX","2021","W","1104","24","10","4","2.35","0.07","1.65","20","5","3.30","1.70","5.65","2.01","1.22"
"","Edward Kizza","NER","2021","ST","1075","32","18","5","5.20","1.18","-0.20","8","0","0.40","-0.40","5.60","2.63","3.20"
"","Aaron Molloy","MAD","2021","DM","2626","44","14","4","2.31","0.51","1.69","54","3","3.21","-0.21","5.53","1.96","1.50"
"","José Carrera-Garcia","CHA","2021","CM","2684","28","11","2","2.04","0.23","-0.04","34","2","3.42","-1.42","5.46","0.95","1.13"
"","Oalex Anderson","RIC","2021","W","866","32","9","3","4.25","-1.95","-1.25","7","2","1.10","0.90","5.35","2.36","4.50"
"","Jimmie Villalobos","CHA","2021","CM","2003","30","9","2","3.27","-1.06","-1.27","17","1","1.83","-0.83","5.10","0.68","1.86"
"","Ryan Spaulding","NER","2021","FB","2522","52","7","3","2.46","-0.74","0.54","26","1","2.45","-1.45","4.91","1.13","1.32"
"","Blake Frischknecht","CHA","2021","ST","1064","33","12","1","4.16","-1.01","-3.16","9","1","0.66","0.34","4.82","0.73","3.18"
"","Kosi Thompson","TOR","2021","W","1684","28","9","1","2.47","-0.71","-1.47","12","0","2.26","-2.26","4.72","0.57","2.38"
"","Robert Kristo","NC","2021","ST","1010","33","13","4","4.25","-0.65","-0.25","4","0","0.39","-0.39","4.64","1.62","2.25"
"","Joshua Coan","NC","2021","W","1777","27","12","3","2.40","0.89","0.60","24","4","2.14","1.86","4.54","0.66","1.36"
